Sequence Identifier	Value
AF409998.1_Timema_poppensis_isolate_pop1no1	B
AF409999.1_Timema_poppensis_isolate_pop1no2	B
AF410000.1_Timema_poppensis_isolate_pop1no3	B
AF410001.1_Timema_poppensis_isolate_pop8no1	B
AF410002.1_Timema_poppensis_isolate_pop8no2	B
AF410003.1_Timema_poppensis_isolate_pop8no3	B
AF410004.1_Timema_poppensis_isolate_pop8no4	B
AF410005.1_Timema_poppensis_isolate_pop2no1	B
AF410006.1_Timema_poppensis_isolate_pop2no2	B
AF410007.1_Timema_poppensis_isolate_pop2no3	B
AF410008.1_Timema_poppensis_isolate_pop7no1	B
AF410009.1_Timema_poppensis_isolate_pop7no2	B
AF410010.1_Timema_poppensis_isolate_pop7no3	B
AF410011.1_Timema_poppensis_isolate_pop7no4	B
AF410012.1_Timema_poppensis_isolate_pop7no5	B
AF410013.1_Timema_poppensis_isolate_pop5no2	B
AF410014.1_Timema_poppensis_isolate_pop5no3	B
AF410015.1_Timema_poppensis_isolate_pop5no4	B
AF410016.1_Timema_poppensis_isolate_pop4no1	B
AF410017.1_Timema_poppensis_isolate_pop4no2	B
AF410018.1_Timema_poppensis_isolate_pop4no3	B
AF410019.1_Timema_poppensis_isolate_pop4no4	B
AF410020.1_Timema_poppensis_isolate_pop6no1	B
AF410021.1_Timema_poppensis_isolate_pop6no2	B
AF410022.1_Timema_poppensis_isolate_pop9no1	B
AF410023.1_Timema_poppensis_isolate_pop9no2	B
AF410024.1_Timema_poppensis_isolate_pop9no3	B
AF410025.1_Timema_poppensis_isolate_pop10no1	B
AF410026.1_Timema_poppensis_isolate_pop10no2	B
AF410027.1_Timema_poppensis_isolate_pop10no3	B
AF410028.1_Timema_poppensis_isolate_pop11no1	B
AF410029.1_Timema_poppensis_isolate_pop12no1	B
AF410030.1_Timema_poppensis_isolate_pop12no2	B
AF410031.1_Timema_poppensis_isolate_pop12no3	B
AF410032.1_Timema_poppensis_isolate_pop12no4	B
AF410033.1_Timema_poppensis_isolate_pop13no1	B
AF410034.1_Timema_poppensis_isolate_pop15no1	B
AF410035.1_Timema_poppensis_isolate_pop14no1	B
AF410036.1_Timema_poppensis_isolate_pop14no2	B
AF410037.1_Timema_poppensis_isolate_pop14no3	B
AF410062.1_Timema_shepardii_isolate_shep1no1	P
AF410063.1_Timema_shepardii_isolate_shep1no2	P
AF410064.1_Timema_shepardii_isolate_shep1no3	P
AF410065.1_Timema_shepardii_isolate_shep1no4	P
AF410066.1_Timema_shepardii_isolate_shep1no5	P
AF410067.1_Timema_shepardii_isolate_shep2no1	P
AF410068.1_Timema_shepardii_isolate_shep2no2	P
AF410069.1_Timema_shepardii_isolate_shep2no3	P
AF410070.1_Timema_shepardii_isolate_shep2no4	P
AF410071.1_Timema_shepardii_isolate_shep3no1	P
AF410072.1_Timema_shepardii_isolate_shep3no2	P
AF410073.1_Timema_shepardii_isolate_shep3no3	P
AF410074.1_Timema_shepardii_isolate_shep4no1	P
AF410075.1_Timema_shepardii_isolate_shep4no2	P
AF410076.1_Timema_shepardii_isolate_shep4no3	P
AF410077.1_Timema_shepardii_isolate_shep5no1	P
AF410078.1_Timema_shepardii_isolate_shep5no2	P
AF410079.1_Timema_shepardii_isolate_shep6no1	P
AF410080.1_Timema_shepardii_isolate_shep6no2	P
AF410081.1_Timema_shepardii_isolate_shep6no3	P
AF005330.1_Timema_tahoe	P
AF410134.1_Timema_tahoe_isolate_tahoe1no1	P
AF410135.1_Timema_tahoe_isolate_tahoe1no2	P
