Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
5229	5	5	20845863	accelerated	0.006508505844901369	0.6354794323883486
1608	4	4	6850431	accelerated	0.006664791892800337	0.6371818749179322
5834	4	5	5567862	constrained	0.006752629025243167	0.6324043795273652
4368	5	5	20845863	constrained	0.006800154122119238	0.6241181453281037
4148	4	5	5567862	constrained	0.006853189397919909	0.6166526695500875
2579	5	4	6850431	accelerated	0.0069014527575580464	0.6090532058544975
6120	4	4	5567862	constrained	0.007002949026031172	0.6063496807633405
8609	4	5	8845863	accelerated	0.00701923203073429	0.5965047368340678
4051	4	4	5567862	constrained	0.007107096681511277	0.5929903031173682
5163	4	5	5567862	accelerated	0.0071341767093959785	0.5846203021324669
3797	5	4	10845863	accelerated	0.00715222325932896	0.5758167111765017
5986	5	5	20845863	constrained	0.007350535451588456	0.5815794342644728
279	5	4	5567862	constrained	0.007691589355687969	0.5982492127669845
6828	5	4	5567862	accelerated	0.00781958376981029	0.5980678319943237
3326	4	5	5567862	constrained	0.007889993249357253	0.5935603118245972
2920	5	5	20845863	constrained	0.008600163886639863	0.6365508399321022
8368	5	4	5567862	accelerated	0.008610630926566998	0.62720929082565
4872	4	5	10845863	accelerated	0.008666741807206169	0.6214324711448298
4197	5	4	10845863	accelerated	0.008750933811169093	0.6178159270685379
5364	5	5	20845863	accelerated	0.008820421244401855	0.6132865619781835
3364	5	4	10845863	constrained	0.00906656444035703	0.6209920032357972
1938	4	4	6850431	accelerated	0.009327212526532236	0.6294496806508298
8597	4	5	8845863	accelerated	0.00939292484099541	0.6246975665989556
8022	5	4	10845863	accelerated	0.009522521523551819	0.6242693038797043
6033	4	5	5567862	constrained	0.009528095311121223	0.615837033559652
941	4	5	8845863	constrained	0.009611364124354439	0.6125909717592016
2094	4	4	6850431	constrained	0.009639129576849743	0.6059447346323763
8057	5	4	10845863	constrained	0.00971217519033814	0.6022861074116449
7039	5	4	5567862	constrained	0.009742440404998186	0.596107453580489
1661	4	5	5567862	constrained	0.009758987690849288	0.589263085701413
6076	5	5	20845863	accelerated	0.009933146289323513	0.5919897184637092
6258	4	5	8845863	constrained	0.00999545989623976	0.5880662238954392
7153	5	5	20845863	constrained	0.010058223591983462	0.5842682033368621
641	5	4	5567862	accelerated	0.010217600439123675	0.5861071051892318
8534	5	4	4750372	constrained	0.010243885806939626	0.5803603946672338
6587	5	4	5567862	accelerated	0.010330039666260227	0.5781042930300998
6982	5	5	20845863	constrained	0.010546737379189236	0.5831202148566192
7541	5	5	20845863	constrained	0.010606878385389514	0.5794638679827676
4742	5	5	20845863	accelerated	0.010833690646507188	0.5848918397273115
1209	4	4	8845863	constrained	0.010984013965518333	0.5861120940437631
8052	4	5	8845863	accelerated	0.011182624197287105	0.5898512924293164
3638	4	4	5567862	constrained	0.011539290331848872	0.6017477651460735
3381	5	4	5567862	constrained	0.011581022983180148	0.5971383648293674
6815	5	4	10845863	constrained	0.011784653889606644	0.6008864077711654
6730	5	5	20845863	constrained	0.011891037541704239	0.5996480360316566
6035	5	5	20845863	accelerated	0.011957259842362511	0.5964333197456692
3150	5	4	10845863	constrained	0.012365390250780059	0.6101588802239751
5910	5	5	20845863	accelerated	0.012438145155006075	0.6072196608119456
4624	5	5	20845863	accelerated	0.012469621982495016	0.6023483713438909
